iter	Passed	Remaining
776	12448	3572
777	12464	3556
778	12478	3540
779	12493	3523
780	12506	3507
781	12521	3490
782	12536	3474
783	12552	3458
784	12567	3441
785	12580	3425
786	12598	3409
787	12611	3393
788	12625	3376
789	12640	3360
790	12654	3343
791	12669	3327
792	12687	3311
793	12707	3296
794	12726	3281
795	12748	3267
796	12768	3252
797	12789	3237
798	12811	3223
799	12830	3207
800	12849	3192
801	12868	3176
802	12885	3161
803	12901	3145
804	12916	3128
805	12933	3112
806	12948	3096
807	12963	3080
808	12978	3064
809	12992	3047
810	13007	3031
811	13021	3014
812	13036	2998
813	13052	2982
814	13070	2966
815	13084	2950
816	13100	2934
817	13115	2918
818	13129	2901
819	13144	2885
820	13158	2868
821	13171	2852
822	13186	2836
823	13200	2819
824	13214	2803
825	13228	2786
826	13243	2770
827	13260	2754
828	13278	2739
829	13299	2723
830	13318	2708
831	13334	2692
832	13355	2677
833	13375	2662
834	13391	2646
835	13407	2630
836	13422	2614
837	13436	2597
838	13450	2581
839	13473	2566
840	13492	2550
841	13509	2535
842	13527	2519
843	13546	2503
844	13565	2488
845	13583	2472
846	13601	2456
847	13618	2441
848	13637	2425
849	13656	2409
850	13671	2393
851	13686	2377
852	13703	2361
853	13720	2345
854	13741	2330
855	13758	2314
856	13781	2299
857	13799	2283
858	13820	2268
859	13839	2252
860	13859	2237
861	13882	2222
862	13900	2206
863	13915	2190
864	13929	2173
865	13943	2157
866	13958	2141
867	13972	2124
868	13988	2108
869	14001	2092
870	14014	2075
871	14032	2059
872	14049	2043
873	14067	2028
874	14085	2012
875	14104	1996
876	14120	1980
877	14135	1964
878	14149	1947
879	14166	1931
880	14183	1915
881	14198	1899
882	14212	1883
883	14229	1867
884	14246	1851
885	14258	1834
886	14274	1818
887	14288	1802
888	14302	1785
889	14316	1769
890	14330	1753
891	14344	1736
892	14362	1720
893	14378	1704
894	14393	1688
895	14407	1672
896	14422	1656
897	14436	1639
898	14451	1623
899	14465	1607
900	14481	1591
901	14495	1574
902	14510	1558
903	14524	1542
904	14539	1526
905	14553	1509
906	14570	1494
907	14592	1478
908	14611	1462
909	14629	1446
910	14645	1430
911	14663	1414
912	14682	1399
913	14702	1383
914	14723	1367
915	14738	1351
916	14755	1335
917	14770	1319
918	14784	1303
919	14797	1286
920	14812	1270
921	14827	1254
922	14842	1238
923	14859	1222
924	14877	1206
925	14895	1190
926	14915	1174
927	14933	1158
928	14951	1142
929	14970	1126
930	14987	1110
931	15005	1094
932	15022	1078
933	15043	1063
934	15063	1047
935	15081	1031
936	15096	1015
937	15113	998
938	15128	982
939	15151	967
940	15172	951
941	15189	935
942	15205	919
943	15226	903
944	15243	887
945	15263	871
946	15283	855
947	15303	839
948	15323	823
949	15342	807
950	15358	791
951	15377	775
952	15394	759
953	15412	743
954	15430	727
955	15448	711
956	15466	694
957	15484	678
958	15503	662
959	15523	646
960	15540	630
961	15558	614
962	15576	598
963	15595	582
964	15614	566
965	15631	550
966	15647	533
967	15664	517
968	15683	501
969	15704	485
970	15722	469
971	15738	453
972	15757	437
973	15776	421
974	15797	405
975	15816	388
976	15833	372
977	15852	356
978	15871	340
979	15888	324
980	15905	308
981	15922	291
982	15940	275
983	15961	259
984	15979	243
985	15997	227
986	16015	210
987	16039	194
988	16060	178
989	16083	162
990	16103	146
991	16121	130
992	16138	113
993	16157	97
994	16175	81
995	16192	65
996	16210	48
997	16225	32
998	16242	16
999	16262	0
