iter	Accuracy	Logloss
741	0.8792100743	0.2599016138
742	0.8791868646	0.25989072
743	0.8791968116	0.2598861593
744	0.8792001273	0.259881235
745	0.8792299684	0.2598759701
746	0.8792299684	0.2598679292
747	0.8792299684	0.2598633644
748	0.879233284	0.2598623265
749	0.8792266527	0.2598565346
750	0.8792299684	0.2598536199
751	0.879223337	0.2598475862
752	0.8792299684	0.2598389286
753	0.879233284	0.2598335397
754	0.8792266527	0.259823961
755	0.8792266527	0.2598147192
756	0.8792200214	0.2598074352
757	0.8792200214	0.2597979176
758	0.879223337	0.2597939719
759	0.8792432311	0.2597879081
760	0.8792498624	0.2597822556
761	0.8792432311	0.2597781069
762	0.8792531781	0.2597722097
763	0.8792498624	0.2597663672
764	0.8792531781	0.2597592304
765	0.8792498624	0.2597530252
766	0.8792564937	0.2597403912
767	0.8792631251	0.2597372561
768	0.8792631251	0.2597307091
769	0.8792631251	0.259721805
770	0.8792598094	0.2597157408
771	0.8792664408	0.2597124787
772	0.8792697564	0.2597066339
773	0.8792763878	0.2597021676
774	0.8792896505	0.2596934928
775	0.8793095445	0.2596872992
776	0.8792995975	0.2596830971
777	0.8793029131	0.2596809177
778	0.8793062288	0.25967366
779	0.8793095445	0.2596646627
780	0.8793161758	0.2596607634
781	0.8793095445	0.2596531144
782	0.8793228072	0.2596475671
783	0.8793194915	0.2596385796
784	0.8793393855	0.2596310147
785	0.8793393855	0.2596253273
786	0.8793393855	0.2596218027
787	0.8793360699	0.259618716
788	0.8793427012	0.2596143209
789	0.8793360699	0.2596079877
790	0.8793360699	0.2596035398
791	0.8793360699	0.2595958395
792	0.8793327542	0.2595894747
793	0.8793427012	0.2595839887
794	0.8793393855	0.2595784959
795	0.8793427012	0.2595741988
796	0.8793493326	0.2595710773
797	0.8793327542	0.2595622898
798	0.8793592796	0.2595549806
799	0.8793460169	0.2595502784
800	0.8793493326	0.2595405647
801	0.8793393855	0.2595316651
802	0.8793427012	0.2595239016
803	0.8793427012	0.259514786
804	0.8793427012	0.2595092788
805	0.8793526482	0.2595019294
806	0.8793758579	0.2594954
807	0.8793725423	0.2594880099
808	0.8793824893	0.259481273
809	0.8793758579	0.2594748067
810	0.8793990676	0.2594675122
811	0.879415646	0.2594633969
812	0.879415646	0.2594562901
813	0.879415646	0.2594469984
814	0.879415646	0.2594404454
815	0.8794123303	0.259433787
816	0.879415646	0.2594287912
817	0.8794090146	0.2594216983
818	0.8794189617	0.2594179158
819	0.879415646	0.2594094214
820	0.879415646	0.2594003475
821	0.879425593	0.2593953767
822	0.8794090146	0.2593904459
823	0.8794090146	0.2593827615
824	0.8794090146	0.2593774435
825	0.8794189617	0.259368474
826	0.879425593	0.2593646863
827	0.8794189617	0.2593598669
828	0.8794222773	0.2593481585
829	0.879415646	0.2593410091
830	0.8794322244	0.2593345759
831	0.879425593	0.2593281028
832	0.8794289087	0.25932477
833	0.8794322244	0.2593168892
834	0.879425593	0.2593077103
835	0.8794322244	0.2593030367
836	0.8794554341	0.2592941636
837	0.8794488027	0.2592889109
838	0.8794388557	0.2592836185
839	0.8794686967	0.259278725
840	0.8794852751	0.2592710781
841	0.8794786438	0.2592662878
842	0.8794786438	0.2592579269
843	0.8794885908	0.2592514297
844	0.8794952221	0.2592428289
845	0.8795250632	0.2592370262
846	0.8795151161	0.259231212
847	0.8795151161	0.2592253242
848	0.8795383259	0.2592152985
849	0.8795316945	0.2592084481
850	0.8795316945	0.2592038932
851	0.8795217475	0.2592007919
852	0.8795250632	0.2591958376
853	0.8795250632	0.259188905
854	0.8795250632	0.2591843489
855	0.8795250632	0.2591792978
856	0.8795217475	0.2591742986
857	0.8795250632	0.2591683683
858	0.8795316945	0.2591626611
859	0.8795283788	0.259159002
860	0.8795151161	0.2591539023
861	0.8795283788	0.2591413335
862	0.8795217475	0.2591356381
863	0.8795350102	0.2591309543
864	0.8795350102	0.2591214952
865	0.8795880609	0.2591146871
866	0.8795880609	0.2591081228
867	0.8795681669	0.2591021697
868	0.8795814296	0.2590973434
869	0.8795980079	0.2590900477
870	0.8795980079	0.2590856006
871	0.879607955	0.25908198
872	0.8796145863	0.2590750211
873	0.8796444274	0.2590687786
874	0.8796444274	0.2590661055
875	0.8796411117	0.2590555381
876	0.8796444274	0.2590492241
877	0.8796311647	0.2590441632
878	0.879637796	0.2590370438
879	0.8796411117	0.2590269073
880	0.8796444274	0.2590177676
881	0.8796709527	0.2590115619
